user_id,u_n_orders,u_total_items,u_n_products,u_n_aisles,u_avg_basket,u_avg_gap,u_sd_gap,u_reorder_rate,n_candidates,expected_basket,n_recommended,n_actual
109734,13,223,113,54,17.1538,17.9167,7.6451,0.4933,113,12.1953,15,9
296,6,30,27,13,5.0,6.8,12.9885,0.1,27,1.5399,2,0
133623,8,44,38,22,5.5,13.7143,9.8101,0.1364,38,1.9874,3,0
126337,28,401,157,54,14.3214,7.1111,5.8067,0.6085,157,13.756,17,6
42867,6,68,42,17,11.3333,10.8,4.8683,0.3824,42,5.6175,7,8
67828,9,68,62,28,7.5556,22.875,9.8043,0.0882,62,1.858,3,4
21017,21,92,29,17,4.381,15.2,6.7011,0.6848,29,2.6034,4,3
146797,4,90,73,28,22.5,22.0,13.8564,0.1889,73,10.0695,13,12
689,3,49,43,25,16.3333,30.0,0.0,0.1224,43,5.2355,7,7
170959,10,77,47,32,7.7,6.4444,7.4349,0.3896,47,4.5015,6,9
96355,12,206,136,45,17.1667,20.0,7.2664,0.3398,136,8.1753,10,7
179012,5,28,17,14,5.6,12.0,5.099,0.3929,17,3.5337,5,3
201730,15,104,39,25,6.9333,3.7857,3.3323,0.625,39,5.5958,7,8
137525,4,62,42,17,15.5,19.6667,4.5092,0.3226,42,7.308,9,5
26201,3,57,48,31,19.0,24.5,7.7782,0.1579,48,4.9561,6,1
145673,3,8,3,2,2.6667,30.0,0.0,0.625,3,1.5333,2,3
94041,19,279,89,33,14.6842,12.8889,5.5401,0.681,89,12.7761,16,10
71285,8,102,70,42,12.75,15.2857,6.5247,0.3137,70,7.7405,10,11
42132,11,109,82,29,9.9091,12.5,9.1561,0.2477,82,5.7406,7,3
177419,21,144,102,53,6.8571,13.6,9.3437,0.2917,102,3.1815,4,3
117195,13,162,90,49,12.4615,21.8333,8.5049,0.4444,90,7.6937,10,10
12284,19,135,68,39,7.1053,7.0556,6.366,0.4963,68,3.6285,5,8
58273,8,26,20,13,3.25,24.2857,8.0356,0.2308,20,1.2789,2,3
142655,10,36,21,16,3.6,3.0,2.3979,0.4167,21,2.3519,3,1
59191,99,370,43,19,3.7374,1.7755,1.5895,0.8838,43,4.3098,6,1
17447,4,14,13,10,3.5,12.6667,15.308,0.0714,13,0.6744,1,0
24195,89,692,277,61,7.7753,4.0455,3.3319,0.5997,277,5.4818,7,7
137898,4,43,37,22,10.75,23.6667,10.9697,0.1395,37,3.3324,4,2
156607,29,54,14,8,1.8621,12.6071,6.5622,0.7407,14,1.5356,2,2
62998,25,404,80,28,16.16,11.0,8.9102,0.802,80,15.7416,19,23
17422,6,70,40,25,11.6667,19.6,10.9225,0.4286,40,7.0266,9,9
142638,6,57,47,23,9.5,8.2,3.2711,0.1754,47,3.4719,5,6
65040,5,39,25,8,7.8,27.5,5.0,0.359,25,4.0348,5,1
174262,11,71,26,13,6.4545,15.5,8.4623,0.6338,26,4.899,6,4
38052,11,139,74,34,12.6364,19.7,8.8826,0.4676,74,5.5524,7,3
160254,6,24,15,11,4.0,10.0,12.9808,0.375,15,1.5771,2,4
20869,9,136,71,30,15.1111,7.875,4.5806,0.4779,71,12.6681,16,17
47595,3,22,20,17,7.3333,25.5,6.364,0.0909,20,1.731,3,6
158213,55,700,134,48,12.7273,6.5185,4.8007,0.8086,134,10.2896,13,1
40903,22,381,127,49,17.3182,14.5714,9.3358,0.6667,127,19.1168,23,25
20587,6,73,33,17,12.1667,23.4,9.3702,0.5479,33,8.3648,11,12
61695,25,102,78,30,4.08,12.375,8.7567,0.2353,78,2.0256,3,2
5670,6,40,25,20,6.6667,26.6,4.2778,0.375,25,3.6632,5,1
99211,11,112,70,30,10.1818,15.6,7.8344,0.375,70,5.2849,7,5
178675,3,36,27,12,12.0,12.0,11.3137,0.25,27,4.317,6,1
200482,29,123,38,24,4.2414,10.1429,8.7038,0.6911,38,3.0469,4,3
160033,31,168,53,24,5.4194,9.3333,7.3406,0.6845,53,3.1365,4,10
62375,5,67,37,22,13.4,16.0,4.2426,0.4478,37,13.0964,16,14
61038,6,44,37,26,7.3333,4.2,2.9496,0.1591,37,3.3349,5,5
76154,12,312,164,54,26.0,17.6364,8.2979,0.4744,164,18.747,23,24
51454,18,108,59,24,6.0,12.6471,9.0688,0.4537,59,3.1205,4,5
112644,17,118,29,18,6.9412,15.0,8.3347,0.7542,29,6.0363,8,6
43729,4,40,26,11,10.0,7.0,1.7321,0.35,26,6.2596,8,4
140604,8,44,23,17,5.5,17.8571,10.0404,0.4773,23,3.8333,5,5
158725,5,66,54,25,13.2,17.0,9.8319,0.1818,54,6.7109,9,9
179596,19,184,94,36,9.6842,14.8889,9.2666,0.4891,94,6.4412,8,5
202385,4,46,36,25,11.5,15.6667,12.5033,0.2174,36,4.4296,6,4
100083,3,44,32,22,14.6667,16.5,12.0208,0.2727,32,6.6458,8,6
3149,3,20,14,10,6.6667,14.5,3.5355,0.3,14,3.4086,5,3
17830,36,684,165,54,19.0,9.4,5.7456,0.7588,165,24.8723,30,30
99794,6,71,48,26,11.8333,25.0,11.1803,0.3239,48,6.5128,8,13
77554,9,97,50,29,10.7778,18.375,8.4166,0.4845,50,6.2804,8,8
110976,11,186,73,31,16.9091,20.2,9.0774,0.6075,73,13.5628,17,11
87397,28,313,113,48,11.1786,8.6667,7.1468,0.639,113,6.7969,9,8
172929,15,321,100,42,21.4,15.5,9.6934,0.6885,100,15.1995,19,17
199487,14,118,58,33,8.4286,17.0,9.2646,0.5085,58,4.3157,6,5
191886,20,32,19,17,1.6,15.6842,9.5339,0.4062,19,0.8102,1,0
117891,10,146,76,37,14.6,12.0,8.5586,0.4795,76,9.1842,12,16
197970,82,1468,276,72,17.9024,4.4691,3.2981,0.812,276,10.6269,13,5
133587,3,47,31,15,15.6667,21.0,12.7279,0.3404,31,8.8807,11,10
1534,3,61,40,22,20.3333,24.0,8.4853,0.3443,40,13.0989,16,19
126627,23,117,55,35,5.087,8.4091,7.6448,0.5299,55,2.9251,4,3
114488,3,3,1,1,1.0,30.0,0.0,0.6667,1,0.7441,1,0
149861,13,93,53,34,7.1538,11.0,9.0554,0.4301,53,5.3255,7,4
195229,3,24,21,15,8.0,30.0,0.0,0.125,21,3.0477,4,2
70284,10,94,59,24,9.4,10.6667,12.2882,0.3723,59,4.0576,5,4
196151,3,15,14,11,5.0,14.5,9.1924,0.0667,14,1.4924,2,0
1377,12,13,2,2,1.0833,12.5455,8.7677,0.8462,2,0.9645,2,1
66592,11,126,81,36,11.4545,23.0,8.34,0.3571,81,5.5736,7,10
25080,21,188,40,29,8.9524,13.2,7.5016,0.7872,40,8.2037,10,13
16645,99,1135,228,53,11.4646,3.6224,3.0444,0.7991,228,8.6759,11,10
54615,16,255,146,56,15.9375,14.3333,9.5593,0.4275,146,11.5193,14,10
127739,31,125,63,22,4.0323,4.1,4.7587,0.496,63,2.8469,4,2
22632,9,63,37,18,7.0,10.625,12.1059,0.4127,37,3.435,5,2
11280,3,18,14,10,6.0,30.0,0.0,0.2222,14,2.6036,4,1
106921,4,46,45,29,11.5,30.0,0.0,0.0217,45,2.1884,3,4
81814,5,24,20,11,4.8,3.75,2.5,0.1667,20,1.8884,3,0
192665,6,63,36,18,10.5,18.0,8.86,0.4286,36,6.5726,8,6
135574,39,527,83,32,13.5128,9.3158,7.0255,0.8425,83,11.7226,15,15
124450,8,77,50,24,9.625,17.4286,11.5738,0.3506,50,6.3458,8,5
132079,3,16,14,11,5.3333,15.0,14.1421,0.125,14,1.5884,2,2
19154,16,174,114,38,10.875,6.8667,4.5649,0.3448,114,7.0988,9,9
17835,16,46,35,20,2.875,12.5333,9.078,0.2391,35,1.2279,2,1
152246,7,67,44,19,9.5714,13.0,13.5056,0.3433,44,4.569,6,0
21186,10,107,56,28,10.7,17.5556,10.9214,0.4766,56,6.4908,8,7
175219,3,40,26,14,13.3333,14.5,0.7071,0.35,26,7.7442,10,6
125695,56,327,115,40,5.8393,6.2545,3.0925,0.6483,115,6.064,8,6
113226,32,155,31,15,4.8438,11.4516,6.8256,0.8,31,3.8872,5,4
99482,7,9,3,3,1.2857,18.3333,7.0616,0.6667,3,0.9827,2,1
160901,37,621,228,71,16.7838,8.6389,6.3882,0.6329,228,14.796,18,8
141089,7,123,46,24,17.5714,8.1667,3.1252,0.626,46,14.5907,18,14
172317,30,258,50,27,8.6,11.7931,6.3041,0.8062,50,7.0885,9,13
58511,39,155,16,11,3.9744,7.1842,3.4158,0.8968,16,5.223,7,6
204779,3,8,7,6,2.6667,30.0,0.0,0.125,7,0.7801,1,1
18546,7,58,33,17,8.2857,17.3333,10.5388,0.431,33,4.9519,6,2
52367,4,7,3,3,1.75,30.0,0.0,0.5714,3,1.1213,2,1
67067,34,701,257,68,20.6176,10.6667,7.1531,0.6334,257,16.6268,20,18
93247,4,44,35,25,11.0,17.0,11.2694,0.2045,35,3.8613,5,4
49327,16,187,91,43,11.6875,5.0,2.3299,0.5134,91,5.8721,8,2
201279,6,78,56,32,13.0,21.8,11.6276,0.2821,56,4.7137,6,4
121256,21,85,27,21,4.0476,12.8,8.489,0.6824,27,2.2355,3,2
179231,3,68,38,22,22.6667,18.5,16.2635,0.4412,38,14.8653,18,22
107939,3,9,7,4,3.0,10.5,4.9497,0.2222,7,1.387,2,0
123850,6,110,48,17,18.3333,25.2,5.4498,0.5636,48,15.2331,19,17
61433,9,103,39,20,11.4444,18.375,9.1486,0.6214,39,8.3722,11,14
201820,10,59,49,26,5.9,16.2222,10.4735,0.1695,49,1.5655,2,1
43008,24,98,27,18,4.0833,14.8261,7.7027,0.7245,27,3.4452,5,3
50805,45,660,133,41,14.6667,4.3636,1.8813,0.7985,133,13.7941,17,14
189159,15,329,110,37,21.9333,15.9286,3.6261,0.6657,110,19.4833,24,8
39003,31,161,66,31,5.1935,5.8667,3.4415,0.5901,66,3.2143,4,1
94316,81,387,55,21,4.7778,4.5125,2.0867,0.8579,55,4.2034,6,5
103399,7,96,59,25,13.7143,27.3333,5.1251,0.3854,59,6.9765,9,6
62513,9,24,12,12,2.6667,16.0,10.8628,0.5,12,2.6475,4,2
148207,8,38,34,14,4.75,13.2857,12.325,0.1053,34,1.1492,2,0
110802,26,177,117,49,6.8077,10.8,7.3541,0.339,117,4.2113,6,3
195493,3,22,13,11,7.3333,28.5,2.1213,0.4091,13,5.0787,7,4
145692,9,150,71,29,16.6667,8.75,4.9785,0.5267,71,12.528,16,10
86784,9,49,36,25,5.4444,12.125,11.6673,0.2653,36,2.415,3,0
11136,8,62,49,17,7.75,22.7143,10.7659,0.2097,49,3.0907,4,4
31868,13,123,69,37,9.4615,22.75,7.0081,0.439,69,4.263,6,4
40494,8,90,60,33,11.25,26.4286,5.7982,0.3333,60,4.445,6,3
186660,52,666,249,75,12.8077,6.8235,5.979,0.6261,249,14.2723,18,3
36520,5,55,46,26,11.0,19.5,11.0905,0.1636,46,4.8737,6,7
75196,27,126,50,32,4.6667,6.5385,6.3701,0.6032,50,2.042,3,1
135132,23,185,59,25,8.0435,10.0,7.9881,0.6811,59,11.2881,14,15
118753,4,51,30,18,12.75,21.0,8.544,0.4118,30,7.0598,9,6
145080,19,244,178,67,12.8421,16.9444,8.4469,0.2705,178,5.2983,7,4
158119,7,101,57,41,14.4286,26.8333,7.7567,0.4356,57,10.6475,13,14
122590,45,275,91,39,6.1111,4.5682,3.3369,0.6691,91,5.6193,7,3
116766,62,688,180,60,11.0968,5.8525,4.8402,0.7384,180,10.4159,13,7
166939,3,11,9,8,3.6667,30.0,0.0,0.1818,9,1.651,2,2
91641,5,13,9,8,2.6,30.0,0.0,0.3077,9,1.2739,2,0
148876,7,96,67,28,13.7143,16.8333,10.7966,0.3021,67,9.1054,11,8
127320,10,201,159,54,20.1,25.7778,6.6102,0.209,159,9.2816,12,7
77182,8,149,80,37,18.625,17.1429,8.5912,0.4631,80,9.5953,12,13
24311,3,25,22,16,8.3333,19.0,15.5563,0.12,22,2.8556,4,3
175167,75,667,181,57,8.8933,4.8649,2.7063,0.7286,181,11.627,14,10
21744,24,232,119,43,9.6667,11.3043,7.807,0.4871,119,9.8889,12,11
138209,10,153,88,41,15.3,10.6667,7.7136,0.4248,88,7.7818,10,7
143337,7,45,36,25,6.4286,21.1667,10.0283,0.2,36,2.4096,3,2
117245,8,52,28,18,6.5,11.1429,6.0671,0.4615,28,4.2611,6,1
56340,4,26,23,15,6.5,30.0,0.0,0.1154,23,2.8952,4,5
33617,19,226,48,23,11.8947,6.6667,2.8697,0.7876,48,10.3692,13,10
28906,19,218,99,38,11.4737,10.5,9.0894,0.5459,99,8.0715,10,6
104718,7,77,56,40,11.0,4.5,2.0736,0.2727,56,4.1464,5,11
88818,5,94,83,39,18.8,16.75,10.7819,0.117,83,5.7939,7,13
119843,19,171,89,43,9.0,9.0,6.6332,0.4795,89,5.5006,7,3
141862,3,32,26,15,10.6667,24.0,8.4853,0.1875,26,3.9201,5,1
126531,6,69,43,28,11.5,8.8,7.791,0.3768,43,6.2138,8,5
67284,5,66,56,20,13.2,14.0,13.784,0.1515,56,4.9593,6,5
204458,4,133,95,31,33.25,25.0,8.6603,0.2857,95,16.1308,20,15
59580,16,106,52,36,6.625,14.5333,10.1127,0.5094,52,6.0508,8,9
159317,11,145,84,37,13.1818,18.0,11.6333,0.4207,84,9.3387,12,6
168791,9,73,26,15,8.1111,13.25,9.3159,0.6438,26,6.2626,8,7
87557,16,45,19,12,2.8125,17.8,7.6644,0.5778,19,2.0607,3,1
42084,3,39,29,18,13.0,22.0,11.3137,0.2564,29,5.1162,7,5
82254,6,30,16,15,5.0,10.6,4.5607,0.4667,16,3.0408,4,3
118613,37,443,141,39,11.973,3.6111,2.9498,0.6817,141,11.3686,14,7
11089,4,63,50,32,15.75,8.6667,3.0551,0.2063,50,7.5578,10,7
151330,13,85,50,19,6.5385,18.8333,9.7685,0.4118,50,4.9223,6,6
30400,25,166,43,21,6.64,14.7917,7.4073,0.741,43,5.9365,8,7
142925,4,33,25,15,8.25,13.0,11.1355,0.2424,25,3.9531,5,7
166577,3,17,11,8,5.6667,30.0,0.0,0.3529,11,2.862,4,3
143973,40,452,138,61,11.3,8.2821,7.1633,0.6947,138,7.8439,10,3
66117,31,315,89,38,10.1613,7.3,3.2499,0.7175,89,10.4077,13,7
146375,34,380,221,62,11.1765,7.6061,7.3822,0.4184,221,4.821,6,12
202934,4,49,33,17,12.25,18.3333,2.0817,0.3265,33,6.9624,9,8
36241,54,524,117,46,9.7037,6.0377,5.2145,0.7767,117,10.3797,13,14
51522,30,196,123,49,6.5333,9.3448,7.8798,0.3724,123,3.8665,5,1
47854,15,85,26,12,5.6667,12.4286,9.6454,0.6941,26,4.6136,6,6
133640,29,243,119,40,8.3793,11.8571,8.9099,0.5103,119,5.7912,7,5
36075,7,41,26,15,5.8571,21.8333,7.8846,0.3659,26,2.7895,4,3
7040,5,54,44,26,10.8,11.0,7.5719,0.1852,44,4.2477,6,2
72036,8,54,16,12,6.75,14.1429,10.3187,0.7037,16,4.6724,6,5
298,3,49,27,17,16.3333,19.5,7.7782,0.449,27,11.0841,14,14
52993,30,259,136,49,8.6333,6.3103,6.7776,0.4749,136,5.4953,7,7
87218,10,79,55,19,7.9,13.7778,9.0799,0.3038,55,3.81,5,0
53230,11,133,71,35,12.0909,16.0,9.8093,0.4662,71,7.6967,10,1
154535,4,34,25,15,8.5,19.0,4.5826,0.2647,25,3.8978,5,2
196166,13,130,50,28,10.0,21.8333,7.3957,0.6154,50,6.7781,9,10
696,38,308,86,34,8.1053,8.6486,6.3123,0.7208,86,4.2965,6,5
146543,20,37,7,7,1.85,17.3158,5.6278,0.8108,7,1.4679,2,1
43064,6,44,39,27,7.3333,5.2,3.0332,0.1136,39,2.2626,3,2
147944,43,101,15,12,2.3488,7.8333,5.0554,0.8515,15,3.0334,4,4
112902,3,36,32,22,12.0,22.0,11.3137,0.1111,32,3.4278,5,3
126717,10,107,44,14,10.7,7.0,4.1533,0.5888,44,9.0954,11,9
73395,7,26,23,15,3.7143,4.8333,3.5449,0.1154,23,1.2553,2,1
120621,4,47,31,16,11.75,9.6667,7.6376,0.3404,31,6.2011,8,1
137014,36,333,94,35,9.25,6.4,2.692,0.7177,94,10.8774,14,10
73668,14,150,73,29,10.7143,17.9231,11.1465,0.5133,73,9.7822,12,9
108491,12,155,116,55,12.9167,16.0,6.6783,0.2516,116,5.5855,7,9
148190,27,138,81,22,5.1111,11.4615,7.8037,0.413,81,2.5735,4,2
165310,16,58,39,22,3.625,18.5333,10.6158,0.3276,39,1.5222,2,2
20133,8,116,50,27,14.5,3.8571,3.0237,0.569,50,9.7355,12,19
114725,5,22,20,8,4.4,11.25,3.8622,0.0909,20,1.2355,2,2
71210,7,52,34,22,7.4286,29.6667,0.8165,0.3462,34,4.51,6,3
31665,4,26,16,8,6.5,14.0,12.1244,0.3846,16,4.7427,6,3
79318,19,220,85,31,11.5789,12.1111,7.0951,0.6136,85,9.8469,12,4
45960,12,223,101,45,18.5833,15.8182,7.4137,0.5471,101,8.451,11,25
72936,6,25,14,9,4.1667,15.2,8.0747,0.44,14,2.357,3,2
9437,99,528,47,13,5.3333,3.2245,1.8641,0.911,47,4.3298,6,1
34395,4,31,29,19,7.75,23.6667,10.9697,0.0645,29,1.8129,3,0
155111,9,146,52,27,16.2222,13.125,10.9341,0.6438,52,9.6456,12,16
8760,15,215,85,32,14.3333,16.5,6.0986,0.6047,85,12.6033,16,7
177012,8,79,46,26,9.875,17.2857,11.0108,0.4177,46,5.8993,8,11
53778,60,299,67,32,4.9833,6.0508,3.4111,0.7759,67,5.8865,8,8
72901,49,920,259,66,18.7755,6.9792,5.8181,0.7185,259,13.8154,17,18
87495,48,469,122,37,9.7708,6.1702,4.4101,0.7399,122,9.9015,12,13
154414,4,19,9,7,4.75,20.0,17.3205,0.5263,9,2.9293,4,1
118442,6,17,6,4,2.8333,16.4,9.2898,0.6471,6,1.4434,2,3
112647,11,40,18,11,3.6364,10.2,7.3606,0.55,18,2.4604,3,6
34704,3,36,31,21,12.0,13.5,7.7782,0.1389,31,4.9009,6,2
95709,6,26,25,21,4.3333,17.6,15.2414,0.0385,25,0.9077,2,1
145107,9,85,48,27,9.4444,24.125,5.8904,0.4353,48,5.4102,7,10
110427,9,62,49,23,6.8889,18.375,7.7448,0.2097,49,2.7285,4,5
131320,6,99,66,33,16.5,15.6,9.9146,0.3333,66,10.5743,13,11
57510,3,16,15,12,5.3333,21.5,12.0208,0.0625,15,2.0044,3,3
170209,4,74,47,28,18.5,29.0,1.7321,0.3649,47,9.2925,12,12
193947,6,29,22,16,4.8333,22.8,13.0077,0.2414,22,1.8015,3,0
41980,46,336,121,31,7.3043,7.7778,5.7322,0.6399,121,9.892,12,22
85429,4,27,18,14,6.75,21.0,15.5885,0.3333,18,3.7051,5,3
67252,7,57,44,33,8.1429,14.0,13.2966,0.2281,44,2.4682,3,0
94605,5,49,31,23,9.8,18.75,12.9968,0.3673,31,4.3803,6,3
102091,3,5,5,4,1.6667,25.5,6.364,0.0,5,0.6439,1,1
140735,8,70,37,24,8.75,15.8571,9.0449,0.4714,37,7.2615,9,8
34912,6,43,30,21,7.1667,27.6,5.3666,0.3023,30,3.0631,4,2
190991,13,121,62,37,9.3077,12.3333,7.1138,0.4876,62,7.1336,9,4
97913,12,146,45,19,12.1667,7.6364,3.0748,0.6918,45,9.688,12,11
151677,11,289,75,31,26.2727,9.5,7.5314,0.7405,75,17.2334,21,29
120705,23,188,78,30,8.1739,11.8182,8.8513,0.5851,78,6.2616,8,2
182300,14,249,89,33,17.7857,18.2308,7.7045,0.6426,89,9.8645,12,10
134463,33,244,78,25,7.3939,5.1562,7.3489,0.6803,78,6.3667,8,9
39894,7,39,29,16,5.5714,15.1667,10.8704,0.2564,29,3.4217,5,7
132900,11,85,58,28,7.7273,21.7,8.4728,0.3176,58,4.4557,6,7
75275,21,292,112,39,13.9048,9.6,8.0092,0.6164,112,13.8745,17,15
7225,19,264,112,39,13.8947,14.5,9.2498,0.5758,112,9.2872,12,10
22488,32,545,203,61,17.0312,10.5484,7.5226,0.6275,203,14.4879,18,11
62339,8,89,58,23,11.125,19.8571,10.3026,0.3483,58,7.6705,10,6
56524,4,60,53,29,15.0,19.6667,8.1445,0.1167,53,5.4786,7,3
66823,15,69,42,24,4.6,17.7857,10.0932,0.3913,42,2.3233,3,4
184661,8,64,45,29,8.0,17.1429,5.3363,0.2969,45,3.5131,5,7
15490,3,43,34,20,14.3333,14.0,4.2426,0.2093,34,5.9065,8,8
165503,10,46,16,11,4.6,14.4444,10.6432,0.6522,16,4.4998,6,6
159584,11,52,26,17,4.7273,21.0,9.4163,0.5,26,2.8863,4,2
1401,21,272,142,58,12.9524,14.85,10.2098,0.4779,142,7.9223,10,7
179386,18,139,57,28,7.7222,13.6471,6.7541,0.5899,57,4.7897,6,4
9242,16,410,75,37,25.625,9.8667,6.8438,0.8171,75,25.1967,31,24
85103,7,49,31,18,7.0,25.0,7.7717,0.3673,31,4.3616,6,5
67453,10,111,63,41,11.1,15.3333,8.3815,0.4324,63,6.953,9,4
13883,23,240,123,41,10.4348,10.6364,6.5067,0.4875,123,7.1736,9,6
164235,3,27,20,18,9.0,14.5,9.1924,0.2593,20,3.3068,4,11
137113,4,34,20,15,8.5,27.6667,4.0415,0.4118,20,3.876,5,1
70932,27,289,67,37,10.7037,8.0769,4.2325,0.7682,67,7.7489,10,7
134706,6,19,17,14,3.1667,5.4,1.5166,0.1053,17,1.1354,2,1
203528,43,432,126,41,10.0465,7.4048,6.7284,0.7083,126,7.4597,9,4
122984,37,258,78,29,6.973,9.3333,7.002,0.6977,78,4.6343,6,4
23796,28,271,123,60,9.6786,11.2963,7.135,0.5461,123,8.2314,10,11
176317,5,67,48,29,13.4,10.5,3.4157,0.2836,48,3.3575,5,2
71479,10,153,89,46,15.3,12.7778,9.1211,0.4183,89,7.5149,10,13
144904,63,480,136,42,7.619,5.5323,6.0672,0.7167,136,8.0491,10,6
131626,41,528,138,38,12.878,6.4,6.9901,0.7386,138,15.481,19,13
136825,14,34,13,8,2.4286,9.6154,8.9586,0.6176,13,2.3827,3,4
56009,3,19,11,9,6.3333,13.5,0.7071,0.4211,11,4.2832,6,8
192758,8,181,92,33,22.625,25.2857,7.6749,0.4917,92,15.314,19,8
82291,4,48,42,27,12.0,18.0,10.583,0.125,42,4.1478,5,2
115663,3,23,21,9,7.6667,8.5,4.9497,0.087,21,2.9917,4,1
47167,8,10,3,3,1.25,18.1429,9.1183,0.7,3,0.8967,2,1
113598,3,5,3,3,1.6667,23.5,9.1924,0.4,3,1.2454,2,1
34598,5,59,41,14,11.8,8.75,2.9861,0.3051,41,5.1606,7,7
178612,88,1045,149,56,11.875,4.069,2.2557,0.8574,149,13.9309,17,11
